confirmed_tissue	manual_assign	Run	Assay.Type	AvgSpotLen	Bases	BioProject	BioSample	Bytes	Center.Name	Consent	DATASTORE.filetype	DATASTORE.provider	DATASTORE.region	Experiment	Instrument	LibraryLayout	LibrarySelection	LibrarySource	Organism	Platform	ReleaseDate	Sample.Name	SRA.Study	Cultivar	Tissue	Library.Name	geo_loc_name_country	geo_loc_name_country_continent	BioSampleModel	geo_loc_name	dev_stage	GEO_Accession..exp.	source_name	treatment	AGE	Replicate	Sample_Name	Collection_Date	ENA.FIRST.PUBLIC..run.	ENA.LAST.UPDATE..run.	INSDC_center_name	INSDC_first_public	INSDC_last_update	INSDC_status	SRA_accession	Title	INSDC_center_alias	collected_by	Ecotype	Isolate	Time_point	Genotype	Alias	ENA_checklist	Biomaterial_provider	SAMPLE_TYPE	geographic_location_.country_and.or_sea.	geographic_location_.latitude.	geographic_location_.longitude.	ENA.FIRST.PUBLIC	ENA.LAST.UPDATE	External_Id	Submitter_Id	common_name	year	Developmental_Stage	environment_.biome.	environment_.feature.	environment_.material.	Investigation_type	plant.associated_environmental_package	project_name	Sequencing_method	PHENOTYPE	sex	Temp	day_after_veraison	time_point_replicate	Isolation_source	lat_lon	disease	Stage	growth_protocol	growth_stage	culture_collection	Specimen_voucher	disease_stage	Cell_Line	Cell_type	Biological.Replicate	Population	vineyard	height_or_length	infection	inoculation	Clone	Crop	Description	tissue_type	Biorep	Experiment.1	tissue_position	resistant_to_powdery_mildew	TimePoint	disk	Rep_Number	treatment_description	geographic_location_.region_and_locality.	Strain	sub_species	geographical_area	Broker_name	culture_rooting_medium	isolation_and_growth_condition	organism_common_name	organism_part	plant_developmental_stage	plant_growth_medium	plant_structure	propagation	rooting_medium_macronutrients	subspecific_genetic_lineage_name	subspecific_genetic_lineage_rank	air_temperature_regimen	infect	light_regimen	rooting_conditions	rooting_medium_micronutrients	sample_health_state	BREED	ripening_stage	status	collection_timepoint	day_temp	night_temp	Sampling_Time	Biological_Replicates	dev.stage	organism	rootstock	AssemblyName	Sample_ID	Biological_Reprlicates	geo.loc.name	Organ	Development_stage	sample_disease_status	enviromental_conditions
leaf	auto	SRR2845691	RNA-Seq	90	3208742280	PRJNA300400	SAMN04221163	2212073940	GEO	public	fastq,sra	gs,ncbi,s3	gs.US,ncbi.public,s3.us-east-1	SRX1392667	Illumina HiSeq 2000	SINGLE	cDNA	TRANSCRIPTOMIC	Vitis vinifera	ILLUMINA	2015-10-30T00:00:00Z	GSM1920330	SRP065417	Summer Black	leaf							GSM1920330	young leaf																																	2 weeks																																																																																		
leaf	auto	SRR2845693	RNA-Seq	90	2943142380	PRJNA300400	SAMN04221164	2026358089	GEO	public	fastq,sra	gs,ncbi,s3	gs.US,ncbi.public,s3.us-east-1	SRX1392668	Illumina HiSeq 2000	SINGLE	cDNA	TRANSCRIPTOMIC	Vitis vinifera	ILLUMINA	2015-10-30T00:00:00Z	GSM1920331	SRP065417	Summer Black	leaf							GSM1920331	medium size leaf																																	5 weeks																																																																																		
leaf	auto	SRR2845694	RNA-Seq	90	2949855930	PRJNA300400	SAMN04221165	2017932287	GEO	public	fastq,sra	gs,ncbi,s3	gs.US,ncbi.public,s3.us-east-1	SRX1392669	Illumina HiSeq 2000	SINGLE	cDNA	TRANSCRIPTOMIC	Vitis vinifera	ILLUMINA	2015-10-30T00:00:00Z	GSM1920332	SRP065417	Summer Black	leaf							GSM1920332	large leaf																																	7 weeks																																																																																		
leaf	auto	SRR2845695	RNA-Seq	90	3470918760	PRJNA300400	SAMN04221166	2382514568	GEO	public	fastq,sra	gs,ncbi,s3	gs.US,ncbi.public,s3.us-east-1	SRX1392670	Illumina HiSeq 2000	SINGLE	cDNA	TRANSCRIPTOMIC	Vitis vinifera	ILLUMINA	2015-10-30T00:00:00Z	GSM1920333	SRP065417	Summer Black	leaf							GSM1920333	mature leaf																																	10 weeks																																																																																		
leaf	auto	SRR360526	RNA-Seq	75	2648216850	PRJNA149115	SAMN00749842	1635844231	GEO	public	fastq,sra	gs,ncbi,s3	gs.US,ncbi.public,s3.us-east-1	SRX104102	Illumina Genome Analyzer II	SINGLE	cDNA	TRANSCRIPTOMIC	Vitis vinifera	ILLUMINA	2018-11-23T00:00:00Z	GSM825729	SRP009172	06C021V0046	leaf	GSM825729: Plant06C021V0046_LeafMix_HMW						GSM825729	pooled leaf ample from leaves opposite influrensence structures																																																																																																																	inmature\, stages 1\, 2\, 3		
leaf	auto	SRR360527	RNA-Seq	75	2834000625	PRJNA149115	SAMN00749843	1836129866	GEO	public	fastq,sra	gs,ncbi,s3	gs.US,ncbi.public,s3.us-east-1	SRX104103	Illumina Genome Analyzer II	SINGLE	cDNA	TRANSCRIPTOMIC	Vitis vinifera	ILLUMINA	2018-11-23T00:00:00Z	GSM825730	SRP009172	Pinot Meunier L2	leaf	GSM825730: PlantL2_LeafMix_HMW						GSM825730	pooled leaf ample from leaves opposite influrensence structures																																																																																																																	inmature\, stages 1\, 2\, 3		
leaf	auto	SRR493740	RNA-Seq	72	1524324744	PRJNA163649	SAMN00990783	1033986217	GEO	public	fastq,sra	gs,ncbi,s3	gs.US,ncbi.public,s3.us-east-1	SRX145807	Illumina Genome Analyzer IIx	PAIRED	cDNA	TRANSCRIPTOMIC	Vitis vinifera	ILLUMINA	2012-05-21T00:00:00Z	GSM926667	SRP012647	Pinot Noir	leaf discs	GSM926667: Control						GSM926667	V. vinifera leaf tissues	Control																																																																																																																		
leaf	auto	SRR493741	RNA-Seq	78	1979232918	PRJNA163649	SAMN00990784	870607815	GEO	public	fastq,sra	gs,ncbi,s3	gs.US,ncbi.public,s3.us-east-1	SRX145808	Illumina Genome Analyzer IIx	PAIRED	cDNA	TRANSCRIPTOMIC	Vitis vinifera	ILLUMINA	2012-05-21T00:00:00Z	GSM926668	SRP012647	Pinot Noir	leaf discs	GSM926668: Wounded 24h						GSM926668	V. vinifera leaf tissues	Wounding																																																																																																																		
leaf	auto	SRR493742	RNA-Seq	78	2097577092	PRJNA163649	SAMN00990785	958850158	GEO	public	fastq,sra	gs,ncbi,s3	gs.US,ncbi.public,s3.us-east-1	SRX145809	Illumina Genome Analyzer IIx	PAIRED	cDNA	TRANSCRIPTOMIC	Vitis vinifera	ILLUMINA	2012-05-21T00:00:00Z	GSM926669	SRP012647	Pinot Noir	leaf discs	GSM926669: Wounded 48h						GSM926669	V. vinifera leaf tissues	Wounding																																																																																																																		
leaf	auto	SRR493743	RNA-Seq	78	2278277820	PRJNA163649	SAMN00990786	1028111291	GEO	public	fastq,sra	gs,ncbi,s3	gs.US,ncbi.public,s3.us-east-1	SRX145810	Illumina Genome Analyzer IIx	PAIRED	cDNA	TRANSCRIPTOMIC	Vitis vinifera	ILLUMINA	2012-05-21T00:00:00Z	GSM926670	SRP012647	Pinot Noir	leaf discs	GSM926670: UV-C treated 24h						GSM926670	V. vinifera leaf tissues	UV-C																																																																																																																		
